"","date","calburned","steps","distance","floors","minsed","minlight","minmod","minintense","activitycal","sleepmin","awakemin","awakings","restmin","sleepeff","Season","sleephours"
"60",2015-07-01,3352,14193,10.55,19,669,210,47,70,1782,370,26,14,444,93.4343434343434,"summer",6.16666666666667
"61",2015-07-02,3063,11560,8.62,30,708,158,25,67,1419,455,21,13,482,95.5882352941177,"summer",7.58333333333333
"62",2015-07-03,3465,15695,11.66,22,648,248,63,54,1947,311,19,11,333,94.2424242424242,"summer",5.18333333333333
"63",2015-07-04,2894,9747,7.24,8,646,253,22,19,1337,550,44,19,594,92.5925925925926,"summer",9.16666666666667
"64",2015-07-05,3515,15731,11.69,17,567,317,52,55,2111,368,57,27,431,86.5882352941177,"summer",6.13333333333333
"65",2015-07-06,2699,8391,6.23,11,877,136,36,30,1082,250,19,13,282,92.9368029739777,"summer",4.16666666666667
"66",2015-07-07,2740,8326,6.19,11,1118,217,10,3,1106,76,10,7,92,88.3720930232558,"summer",1.26666666666667
"67",2015-07-08,3244,14241,10.58,14,700,234,22,59,1662,360,39,18,425,90.2255639097744,"summer",6
"68",2015-07-09,2994,7298,5.42,6,836,290,10,1,1322,248,12,7,261,95.3846153846154,"summer",4.13333333333333
"69",2015-07-10,3134,10644,7.91,15,683,283,36,17,1606,410,52,27,463,88.7445887445887,"summer",6.83333333333333
"70",2015-07-11,3191,12371,9.19,11,639,194,46,60,1589,465,31,16,501,93.75,"summer",7.75
"71",2015-07-12,2810,7580,5.63,10,607,258,16,0,1201,406,22,17,435,94.8598130841121,"summer",6.76666666666667
"72",2015-07-13,3259,12168,9.04,18,731,212,52,60,1725,347,29,15,385,92.2872340425532,"summer",5.78333333333333
"73",2015-07-14,3383,15135,11.28,20,740,167,47,87,1813,362,24,14,393,93.7823834196891,"summer",6.03333333333333
"74",2015-07-15,3569,14996,11.14,32,573,321,50,54,2155,418,20,11,438,95.4337899543379,"summer",6.96666666666667
"75",2015-07-16,3017,8704,6.47,14,697,225,31,29,1392,411,31,11,451,92.9864253393665,"summer",6.85
"76",2015-07-17,3228,12739,9.47,16,761,247,47,47,1733,304,28,16,338,91.566265060241,"summer",5.06666666666667
"77",2015-07-18,3352,13247,9.84,20,484,317,31,47,1910,343,50,24,398,87.2773536895674,"summer",5.71666666666667
"78",2015-07-19,3237,11660,8.66,10,680,286,5,53,1703,368,18,10,391,95.3367875647668,"summer",6.13333333333333
"79",2015-07-20,3278,13702,10.18,21,708,246,48,43,1775,380,34,24,420,91.7874396135266,"summer",6.33333333333333
"80",2015-07-21,3040,11240,8.35,17,732,208,52,24,1438,322,41,13,363,88.7052341597796,"summer",5.36666666666667
"81",2015-07-22,3071,13262,9.85,20,1093,166,33,70,1495,0,0,0,0,NA,"summer",0
"82",2015-07-23,2984,9090,6.75,17,719,234,23,23,1349,472,29,16,519,94.2115768463074,"summer",7.86666666666667
"83",2015-07-24,3468,15779,11.72,23,618,346,48,21,2073,292,23,16,343,92.6984126984127,"summer",4.86666666666667
"84",2015-07-25,2706,6174,4.59,3,677,231,13,4,1046,304,47,21,357,86.6096866096866,"summer",5.06666666666667
"85",2015-07-26,3090,11614,8.63,9,503,301,2,40,1573,419,51,25,480,89.1489361702128,"summer",6.98333333333333
"86",2015-07-27,3091,13460,10,13,822,190,29,64,1527,172,6,7,185,96.6292134831461,"summer",2.86666666666667
"87",2015-07-28,2980,10000,7.43,13,803,230,44,11,1370,303,48,31,356,86.3247863247863,"summer",5.05
"88",2015-07-29,3138,10680,7.94,16,634,322,21,4,1628,368,29,23,406,92.6952141057935,"summer",6.13333333333333
"89",2015-07-30,3246,14105,10.48,20,718,225,60,44,1727,389,36,19,433,91.5294117647059,"summer",6.48333333333333
"90",2015-07-31,2654,9194,6.83,20,784,198,7,0,914,415,39,31,467,91.4096916299559,"summer",6.91666666666667
"91",2015-08-01,3453,17497,13.02,11,1092,219,54,45,1673,0,0,0,0,NA,"summer",0
"92",2015-08-02,2651,5765,4.28,8,544,245,6,6,1039,529,78,38,607,87.1499176276771,"summer",8.81666666666667
"93",2015-08-03,3420,15362,11.41,16,683,226,65,54,1883,294,42,18,351,87.5,"summer",4.9
"94",2015-08-04,2863,9870,7.33,20,793,186,28,32,1225,303,27,16,336,91.8181818181818,"summer",5.05
"95",2015-08-05,3326,14502,10.78,34,520,250,41,59,1838,553,31,20,592,94.6917808219178,"summer",9.21666666666667
"96",2015-08-06,3472,14652,10.89,26,562,350,42,20,2079,402,22,12,427,94.811320754717,"summer",6.7
"97",2015-08-07,2849,7628,5.67,11,638,283,11,8,1297,192,22,12,230,89.7196261682243,"summer",3.2
"98",2015-08-08,3168,13877,10.31,32,609,206,57,51,1638,487,27,17,518,94.7470817120623,"summer",8.11666666666667
"99",2015-08-09,3109,11433,8.49,15,561,236,40,35,1564,544,39,24,583,93.3104631217839,"summer",9.06666666666667
"100",2015-08-10,3139,13655,10.15,13,985,285,8,23,1617,77,0,0,77,100,"summer",1.28333333333333
"101",2015-08-11,2857,13535,10.08,7,1348,44,4,14,347,80,2,5,92,97.5609756097561,"summer",1.33333333333333
"102",2015-08-12,2055,1883,1.4,1,1370,70,0,0,287,0,0,0,0,NA,"summer",0
"103",2015-08-13,3218,11354,8.44,8,694,366,4,10,1718,263,33,17,297,88.8513513513514,"summer",4.38333333333333
"104",2015-08-14,3010,11532,8.57,4,572,301,26,10,1542,219,15,11,237,93.5897435897436,"summer",3.65
"105",2015-08-15,2813,6129,4.55,3,635,256,8,1,1159,551,42,27,593,92.9173693086003,"summer",9.18333333333333
"106",2015-08-16,2706,6238,4.64,3,688,267,0,0,1084,429,34,16,465,92.6565874730022,"summer",7.15
"107",2015-08-17,3683,15572,11.57,9,515,472,33,14,2362,263,7,13,285,97.4074074074074,"summer",4.38333333333333
"108",2015-08-18,3106,10886,8.09,19,639,292,27,20,1578,445,75,38,526,85.5769230769231,"summer",7.41666666666667
"109",2015-08-19,3217,12213,9.07,6,421,381,13,8,1834,212,33,15,247,86.530612244898,"summer",3.53333333333333
"110",2015-08-20,3421,12929,9.61,4,565,425,25,18,2070,324,22,13,354,93.6416184971098,"summer",5.4
"111",2015-08-21,3382,16365,12.16,5,461,329,45,16,1950,465,60,33,525,88.5714285714286,"summer",7.75
"112",2015-08-22,3498,17252,12.82,15,481,382,19,42,2164,440,33,23,476,93.0232558139535,"summer",7.33333333333333
"113",2015-08-23,3288,14537,10.8,3,518,345,19,47,1937,518,28,19,549,94.8717948717949,"summer",8.63333333333333
"114",2015-08-24,3215,13404,9.96,18,685,192,38,71,1648,375,49,33,446,88.4433962264151,"summer",6.25
"115",2015-08-25,3063,10940,8.13,12,697,199,52,50,1530,326,13,6,339,96.165191740413,"summer",5.43333333333333
"116",2015-08-26,2928,10032,7.45,13,757,175,45,45,1328,397,21,14,437,94.9760765550239,"summer",6.61666666666667
"117",2015-08-27,3229,14008,10.41,6,544,334,18,35,1828,497,47,37,549,91.3602941176471,"summer",8.28333333333333
"118",2015-08-28,3356,12149,9.03,11,1051,369,9,11,1861,0,0,0,0,NA,"summer",0
"119",2015-08-29,3890,19977,14.84,26,648,395,23,74,2540,234,5,8,250,97.907949790795,"summer",3.9
"120",2015-08-30,2961,11924,8.91,64,1421,0,0,0,0,52,6,3,69,89.6551724137931,"summer",0.866666666666667
"121",2015-08-31,3136,10757,7.99,15,1187,145,43,65,1532,0,0,0,0,NA,"summer",0
"122",2015-09-01,3681,12229,9.11,24,689,421,17,16,2200,125,13,9,141,90.5797101449275,"fall",2.08333333333333
"123",2015-09-02,3009,10330,7.68,16,770,248,16,15,1369,316,46,20,366,87.292817679558,"fall",5.26666666666667
"124",2015-09-03,3094,11689,8.69,11,1043,182,50,51,1530,0,0,0,0,NA,"fall",0
"125",2015-09-04,3518,15627,11.61,26,606,284,50,55,2063,452,26,18,489,94.5606694560669,"fall",7.53333333333333
"126",2015-09-05,2885,10681,7.94,1,656,240,15,30,1356,479,32,21,512,93.7377690802348,"fall",7.98333333333333
"127",2015-09-06,2745,7907,5.88,0,654,287,0,0,1217,382,30,18,414,92.7184466019417,"fall",6.36666666666667
"128",2015-09-07,2829,9487,7.05,17,1156,152,40,28,1197,0,0,0,0,NA,"fall",0
"129",2015-09-08,2742,8253,6.13,11,1137,91,16,29,763,153,8,9,163,95.0310559006211,"fall",2.55
"130",2015-09-09,4351,22238,16.52,16,355,407,87,85,3181,393,61,33,468,86.5638766519824,"fall",6.55
"131",2015-09-10,2967,10650,7.91,15,940,198,38,42,1421,226,12,8,249,94.9579831932773,"fall",3.76666666666667
"132",2015-09-11,3054,12038,8.94,14,700,201,44,57,1530,249,31,15,287,88.9285714285714,"fall",4.15
"133",2015-09-12,2937,11480,8.53,2,462,315,8,13,1481,525,72,45,603,87.9396984924623,"fall",8.75
"134",2015-09-13,2977,9199,6.84,5,600,361,15,8,1564,414,61,34,480,87.1578947368421,"fall",6.9
